  Nz=Nparall      Px    
 -3.5000E+01  6.2155E-05
 -3.4988E+01  6.1147E-05
 -3.4976E+01  5.9815E-05
 -3.4964E+01  5.8165E-05
 -3.4952E+01  5.6207E-05
 -3.4940E+01  5.3950E-05
 -3.4929E+01  5.1410E-05
 -3.4917E+01  4.8606E-05
 -3.4905E+01  4.5566E-05
 -3.4893E+01  4.2327E-05
 -3.4881E+01  3.8933E-05
 -3.4869E+01  3.5440E-05
 -3.4857E+01  3.1912E-05
 -3.4845E+01  2.8419E-05
 -3.4833E+01  2.5038E-05
 -3.4821E+01  2.1844E-05
 -3.4809E+01  1.8910E-05
 -3.4798E+01  1.6303E-05
 -3.4786E+01  1.4075E-05
 -3.4774E+01  1.2266E-05
 -3.4762E+01  1.0895E-05
 -3.4750E+01  9.9609E-06
 -3.4738E+01  9.4411E-06
 -3.4726E+01  9.2925E-06
 -3.4714E+01  9.4535E-06
 -3.4702E+01  9.8485E-06
 -3.4690E+01  1.0392E-05
 -3.4678E+01  1.0994E-05
 -3.4667E+01  1.1570E-05
 -3.4655E+01  1.2039E-05
 -3.4643E+01  1.2339E-05
 -3.4631E+01  1.2422E-05
 -3.4619E+01  1.2265E-05
 -3.4607E+01  1.1866E-05
 -3.4595E+01  1.1246E-05
 -3.4583E+01  1.0446E-05
 -3.4571E+01  9.5231E-06
 -3.4559E+01  8.5454E-06
 -3.4547E+01  7.5863E-06
 -3.4536E+01  6.7173E-06
 -3.4524E+01  6.0021E-06
 -3.4512E+01  5.4910E-06
 -3.4500E+01  5.2165E-06
 -3.4488E+01  5.1915E-06
 -3.4476E+01  5.4077E-06
 -3.4464E+01  5.8376E-06
 -3.4452E+01  6.4374E-06
 -3.4440E+01  7.1516E-06
 -3.4428E+01  7.9189E-06
 -3.4416E+01  8.6778E-06
 -3.4405E+01  9.3734E-06
 -3.4393E+01  9.9621E-06
 -3.4381E+01  1.0416E-05
 -3.4369E+01  1.0726E-05
 -3.4357E+01  1.0901E-05
 -3.4345E+01  1.0966E-05
 -3.4333E+01  1.0963E-05
 -3.4321E+01  1.0941E-05
 -3.4309E+01  1.0952E-05
 -3.4297E+01  1.1048E-05
 -3.4285E+01  1.1269E-05
 -3.4274E+01  1.1643E-05
 -3.4262E+01  1.2180E-05
 -3.4250E+01  1.2874E-05
 -3.4238E+01  1.3698E-05
 -3.4226E+01  1.4610E-05
 -3.4214E+01  1.5559E-05
 -3.4202E+01  1.6489E-05
 -3.4190E+01  1.7345E-05
 -3.4178E+01  1.8083E-05
 -3.4166E+01  1.8673E-05
 -3.4154E+01  1.9106E-05
 -3.4143E+01  1.9394E-05
 -3.4131E+01  1.9574E-05
 -3.4119E+01  1.9702E-05
 -3.4107E+01  1.9847E-05
 -3.4095E+01  2.0087E-05
 -3.4083E+01  2.0498E-05
 -3.4071E+01  2.1144E-05
 -3.4059E+01  2.2067E-05
 -3.4047E+01  2.3283E-05
 -3.4035E+01  2.4771E-05
 -3.4023E+01  2.6476E-05
 -3.4012E+01  2.8306E-05
 -3.4000E+01  3.0141E-05
 -3.3988E+01  3.1839E-05
 -3.3976E+01  3.3250E-05
 -3.3964E+01  3.4227E-05
 -3.3952E+01  3.4644E-05
 -3.3940E+01  3.4406E-05
 -3.3928E+01  3.3464E-05
 -3.3916E+01  3.1822E-05
 -3.3904E+01  2.9542E-05
 -3.3892E+01  2.6742E-05
 -3.3881E+01  2.3589E-05
 -3.3869E+01  2.0290E-05
 -3.3857E+01  1.7070E-05
 -3.3845E+01  1.4162E-05
 -3.3833E+01  1.1776E-05
 -3.3821E+01  1.0087E-05
 -3.3809E+01  9.2149E-06
 -3.3797E+01  9.2108E-06
 -3.3785E+01  1.0050E-05
 -3.3773E+01  1.1632E-05
 -3.3761E+01  1.3787E-05
 -3.3750E+01  1.6289E-05
 -3.3738E+01  1.8876E-05
 -3.3726E+01  2.1275E-05
 -3.3714E+01  2.3225E-05
 -3.3702E+01  2.4509E-05
 -3.3690E+01  2.4973E-05
