  Nz=Nparall      Px    
 -3.5000E+01  2.2343E-05
 -3.4988E+01  2.7980E-05
 -3.4976E+01  3.2812E-05
 -3.4964E+01  3.5372E-05
 -3.4952E+01  3.4716E-05
 -3.4940E+01  3.0821E-05
 -3.4929E+01  2.4630E-05
 -3.4917E+01  1.7724E-05
 -3.4905E+01  1.1753E-05
 -3.4893E+01  7.8802E-06
 -3.4881E+01  6.4510E-06
 -3.4869E+01  7.0090E-06
 -3.4857E+01  8.6130E-06
 -3.4845E+01  1.0294E-05
 -3.4833E+01  1.1439E-05
 -3.4821E+01  1.1948E-05
 -3.4809E+01  1.2127E-05
 -3.4798E+01  1.2395E-05
 -3.4786E+01  1.2982E-05
 -3.4774E+01  1.3764E-05
 -3.4762E+01  1.4308E-05
 -3.4750E+01  1.4107E-05
 -3.4738E+01  1.2861E-05
 -3.4726E+01  1.0670E-05
 -3.4714E+01  8.0360E-06
 -3.4702E+01  5.6671E-06
 -3.4690E+01  4.1795E-06
 -3.4678E+01  3.8349E-06
 -3.4667E+01  4.4366E-06
 -3.4655E+01  5.4297E-06
 -3.4643E+01  6.1570E-06
 -3.4631E+01  6.1502E-06
 -3.4619E+01  5.3250E-06
 -3.4607E+01  3.9962E-06
 -3.4595E+01  2.7142E-06
 -3.4583E+01  2.0056E-06
 -3.4571E+01  2.1394E-06
 -3.4559E+01  3.0222E-06
 -3.4547E+01  4.2626E-06
 -3.4536E+01  5.3615E-06
 -3.4524E+01  5.9357E-06
 -3.4512E+01  5.8684E-06
 -3.4500E+01  5.3247E-06
 -3.4488E+01  4.6362E-06
 -3.4476E+01  4.1210E-06
 -3.4464E+01  3.9307E-06
 -3.4452E+01  3.9967E-06
 -3.4440E+01  4.0942E-06
 -3.4428E+01  3.9836E-06
 -3.4416E+01  3.5520E-06
 -3.4405E+01  2.8825E-06
 -3.4393E+01  2.2160E-06
 -3.4381E+01  1.8288E-06
 -3.4369E+01  1.8890E-06
 -3.4357E+01  2.3652E-06
 -3.4345E+01  3.0348E-06
 -3.4333E+01  3.5863E-06
 -3.4321E+01  3.7659E-06
 -3.4309E+01  3.4957E-06
 -3.4297E+01  2.9076E-06
 -3.4285E+01  2.2754E-06
 -3.4274E+01  1.8830E-06
 -3.4262E+01  1.8910E-06
 -3.4250E+01  2.2677E-06
 -3.4238E+01  2.8158E-06
 -3.4226E+01  3.2774E-06
 -3.4214E+01  3.4646E-06
 -3.4202E+01  3.3491E-06
 -3.4190E+01  3.0672E-06
 -3.4178E+01  2.8407E-06
 -3.4166E+01  2.8537E-06
 -3.4154E+01  3.1502E-06
 -3.4143E+01  3.6053E-06
 -3.4131E+01  3.9843E-06
 -3.4119E+01  4.0632E-06
 -3.4107E+01  3.7494E-06
 -3.4095E+01  3.1436E-06
 -3.4083E+01  2.5087E-06
 -3.4071E+01  2.1604E-06
 -3.4059E+01  2.3277E-06
 -3.4047E+01  3.0494E-06
 -3.4035E+01  4.1549E-06
 -3.4023E+01  5.3349E-06
 -3.4012E+01  6.2706E-06
 -3.4000E+01  6.7586E-06
 -3.3988E+01  6.7759E-06
 -3.3976E+01  6.4601E-06
 -3.3964E+01  6.0195E-06
 -3.3952E+01  5.6232E-06
 -3.3940E+01  5.3264E-06
 -3.3928E+01  5.0666E-06
 -3.3916E+01  4.7289E-06
 -3.3904E+01  4.2404E-06
 -3.3892E+01  3.6422E-06
 -3.3881E+01  3.0964E-06
 -3.3869E+01  2.8208E-06
 -3.3857E+01  2.9833E-06
 -3.3845E+01  3.6087E-06
 -3.3833E+01  4.5478E-06
 -3.3821E+01  5.5283E-06
 -3.3809E+01  6.2656E-06
 -3.3797E+01  6.5830E-06
 -3.3785E+01  6.4840E-06
 -3.3773E+01  6.1423E-06
 -3.3761E+01  5.8203E-06
 -3.3750E+01  5.7583E-06
 -3.3738E+01  6.0972E-06
 -3.3726E+01  6.8773E-06
 -3.3714E+01  8.1150E-06
 -3.3702E+01  9.9134E-06
 -3.3690E+01  1.2538E-05
 -3.3678E+01  1.6394E-05
 -3.3666E+01  2.1884E-05
 -3.3654E+01  2.9194E-05
 -3.3642E+01  3.8077E-05
 -3.3630E+01  4.7754E-05
 -3.3619E+01  5.6990E-05
 -3.3607E+01  6.4348E-05
 -3.3595E+01  6.8568E-05
 -3.3583E+01  6.8933E-05
 -3.3571E+01  6.5525E-05
 -3.3559E+01  5.9259E-05
 -3.3547E+01  5.1710E-05
 -3.3535E+01  4.4781E-05
 -3.3523E+01  4.0312E-05
 -3.3511E+01  3.9739E-05
 -3.3499E+01  4.3877E-05
 -3.3488E+01  5.2831E-05
 -3.3476E+01  6.6020E-05
 -3.3464E+01  8.2258E-05
 -3.3452E+01  9.9870E-05
 -3.3440E+01  1.1683E-04
 -3.3428E+01  1.3097E-04
 -3.3416E+01  1.4025E-04
 -3.3404E+01  1.4308E-04
 -3.3392E+01  1.3871E-04
 -3.3380E+01  1.2746E-04
 -3.3368E+01  1.1080E-04
 -3.3357E+01  9.1142E-05
 -3.3345E+01  7.1379E-05
 -3.3333E+01  5.4295E-05
 -3.3321E+01  4.1956E-05
 -3.3309E+01  3.5302E-05
 -3.3297E+01  3.4036E-05
 -3.3285E+01  3.6828E-05
 -3.3273E+01  4.1776E-05
 -3.3261E+01  4.6939E-05
 -3.3249E+01  5.0792E-05
 -3.3237E+01  5.2471E-05
 -3.3226E+01  5.1774E-05
 -3.3214E+01  4.8986E-05
 -3.3202E+01  4.4622E-05
 -3.3190E+01  3.9216E-05
 -3.3178E+01  3.3226E-05
 -3.3166E+01  2.7041E-05
 -3.3154E+01  2.1054E-05
 -3.3142E+01  1.5705E-05
 -3.3130E+01  1.1451E-05
 -3.3118E+01  8.6540E-06
